Date,LKR_per_Oz,LKR_per_XAU_Inverse
2022-08-24,630154.3800,0
2022-08-23,628123.7550,0
2022-08-22,630943.8553,0
2022-08-19,634073.2697,0
2022-08-18,636816.4618,0
2022-08-17,641234.9361,0
2022-08-16,643301.3471,0
2022-08-15,648080.5842,0
2022-08-12,644757.7948,0
2022-08-10,647553.4666,0
2022-08-09,644037.8749,0
2022-08-08,640465.1000,0
2022-08-05,645603.4152,0
2022-08-04,638107.0841,0
2022-08-03,637121.7577,0
2022-08-02,641386.8950,0
2022-08-01,637002.5500,0
2022-07-29,632998.3440,0
2022-07-28,626347.6350,0
2022-07-27,619841.2057,0
2022-07-26,623156.3950,0
2022-07-25,623058.9896,0
2022-07-22,619699.9535,0
2022-07-21,612271.5047,0
2022-07-20,619190.3290,0
2022-07-19,616796.9766,0
2022-07-18,618718.6700,0
2022-07-15,619784.8866,0
2022-07-14,625587.6685,0
2022-07-12,626211.3321,0
2022-07-11,629690.3168,0
2022-07-08,628253.4862,0
2022-07-07,627886.3353,0
2022-07-06,637359.5125,0
2022-07-05,651358.6458,0
2022-07-04,651045.6250,0
2022-07-01,649205.2778,0
2022-06-30,655624.3054,0
2022-06-29,655461.9994,0
2022-06-28,656245.2590,0
2022-06-27,661400.9085,0
2022-06-24,657527.6835,0
2022-06-23,661636.1655,0
2022-06-22,659292.0298,0
2022-06-21,666291.0463,0
2022-06-20,663006.1913,0
2022-06-17,663582.2588,0
2022-06-16,659009.0844,0
2022-06-15,654547.3583,0
2022-06-13,669519.3625,0
2022-06-10,664350.9110,0
2022-06-09,666585.4131,0
2022-06-08,665821.8530,0
2022-06-07,663214.6663,0
2022-06-06,668110.8348,0
2022-06-03,674537.4465,0
2022-06-02,665341.2570,0
2022-06-01,661364.3922,0
2022-05-31,667519.6394,0
2022-05-30,670856.6694,0
2022-05-27,665950.7063,0
2022-05-26,665551.3405,0
2022-05-25,669218.1539,0
2022-05-24,664819.3868,0
2022-05-23,665733.5924,0
2022-05-20,660443.6464,0
2022-05-19,652782.8003,0
2022-05-18,651996.8973,0
2022-05-17,656919.6888,0
2022-05-13,657106.2000,0
2022-05-12,668628.0000,0
2022-05-11,670120.6578,0
2022-05-10,678433.5382,0
2022-05-09,684258.7554,0
2022-05-06,671177.6697,0
2022-05-05,664815.2485,0
2022-05-04,633019.9730,0
2022-04-29,649916.6738,0
2022-04-28,643701.8408,0
2022-04-27,642461.0965,0
2022-04-26,647700.6160,0
2022-04-25,643935.9060,0
2022-04-22,652885.8298,0
2022-04-21,654404.0750,0
2022-04-20,603379.3500,0
2022-04-19,612806.4500,0
2022-04-18,622363.6255,0
2022-04-12,613643.7092,0
2022-04-11,605318.0429,0
2022-04-08,577457.2050,0
2022-04-07,576208.1447,0
2022-04-06,591941.5361,0
2022-04-05,593692.8560,0
2022-04-04,596766.3634,0
2022-04-01,578835.0120,0
2022-03-31,576139.0187,0
2022-03-30,589041.4516,0
2022-03-29,568294.6286,0
2022-03-28,574607.2926,0
2022-03-25,569578.8500,0
2022-03-24,543856.6000,0
2022-03-23,539103.2437,0
2022-03-22,541123.8000,0
2022-03-21,529777.8750,0
2022-03-18,518656.5569,0
2022-03-16,515218.0169,0
2022-03-15,511777.9051,0
2022-03-14,497107.3938,0
2022-03-11,502614.1654,0
2022-03-10,452625.1616,0
2022-03-09,470485.3275,0
2022-03-08,401727.4060,0
2022-03-07,402149.5078,0
2022-03-04,390696.3954,0
2022-03-03,389656.9900,0
2022-03-02,391394.2215,0
2022-02-28,384052.2354,0
2022-02-25,387214.0958,0
2022-02-24,385184.8164,0
2022-02-23,382054.2875,0
2022-02-22,385633.1500,0
2022-02-21,382972.9911,0
2022-02-18,382119.9492,0
2022-02-17,377515.9905,0
2022-02-15,376213.0467,0
2022-02-14,373541.6726,0
2022-02-11,368768.1700,0
2022-02-10,370349.9251,0
2022-02-09,369338.8405,0
2022-02-08,368772.1754,0
2022-02-07,365726.0500,0
2022-02-03,364172.3264,0
2022-02-02,362418.9270,0
2022-02-01,362916.8635,0
2022-01-31,359927.6811,0
2022-01-28,361856.5697,0
2022-01-27,366979.8539,0
2022-01-26,372481.5727,0
2022-01-25,371918.2306,0
2022-01-24,370986.1300,0
2022-01-21,373065.0688,0
2022-01-20,369878.2094,0
2022-01-19,366147.1999,0
2022-01-18,367898.9144,0
2022-01-13,368174.8073,0
2022-01-12,365731.9862,0
2022-01-11,362996.0905,0
2022-01-10,362433.6741,0
2022-01-07,360489.7804,0
2022-01-06,363700.8582,0
2022-01-05,366167.7737,0
2022-01-04,361395.0000,0
2022-01-03,366331.8541,0
2021-12-31,363794.3622,0
2021-12-30,365943.0250,0
2021-12-29,362873.3501,0
2021-12-28,364536.4166,0
2021-12-27,363783.1354,0
2021-12-24,364066.4298,0
2021-12-23,362529.1824,0
2021-12-22,360158.2469,0
2021-12-21,360955.7951,0
2021-12-20,365532.9650,0
2021-12-17,363292.1121,0
2021-12-16,357680.2482,0
2021-12-15,357788.6022,0
2021-12-14,361058.9448,0
2021-12-13,359799.3570,0
2021-12-10,357741.4044,0
2021-12-09,358917.0198,0
2021-12-08,360830.9716,0
2021-12-07,356151.8067,0
2021-12-06,361316.5913,0
2021-12-03,355089.2498,0
2021-12-02,359702.7776,0
2021-12-01,359368.5773,0
2021-11-30,361493.1057,0
2021-11-29,361854.3405,0
2021-11-26,360578.9055,0
2021-11-25,360440.4468,0
2021-11-24,360174.2915,0
2021-11-23,366282.1274,0
2021-11-22,373401.7290,0
2021-11-19,376442.0766,0
2021-11-17,373359.0145,0
2021-11-16,377400.3452,0
2021-11-15,375757.4363,0
2021-11-12,375906.5668,0
2021-11-11,371475.8119,0
2021-11-10,369988.7602,0
2021-11-09,368684.5247,0
2021-11-08,364533.6979,0
2021-11-05,363699.6537,0
2021-11-03,360792.8031,0
2021-11-02,362714.6043,0
2021-11-01,360641.3003,0
2021-10-29,362861.2144,0
2021-10-28,360121.7702,0
2021-10-27,361708.7838,0
2021-10-26,366415.3451,0
